date,description,amount,payment_mode,income
2025-01-01,Salary,30000,Bank,30000
2025-01-02,Groceries,400,UPI,0
2025-01-03,Milk,60,Cash,0
2025-01-04,Swiggy,1400,UPI,0
2025-01-05,Zomato,1500,Card,0
2025-01-06,Uber,250,UPI,0
2025-01-07,Electricity,1300,UPI,0
2025-01-08,Groceries,450,Cash,0
2025-01-09,Milk,60,Cash,0
2025-01-10,Groceries,500,Cash,0
2025-01-11,Swiggy,1500,UPI,0
2025-01-12,Zomato,1600,UPI,0
2025-01-13,Uber,240,UPI,0
2025-01-14,Recharge,399,UPI,0
2025-01-15,Groceries,480,Cash,0
2025-01-16,Milk,60,Cash,0
2025-01-17,Groceries,500,Cash,0
2025-01-18,Swiggy,1600,UPI,0
2025-01-19,Zomato,1500,UPI,0
2025-01-20,Uber,230,UPI,0
2025-01-21,Groceries,450,Cash,0
2025-01-22,Milk,60,Cash,0
2025-01-23,Electricity,1300,UPI,0
2025-01-24,Groceries,500,Cash,0
2025-01-25,Swiggy,1700,UPI,0
2025-01-26,Zomato,1600,UPI,0
2025-01-27,Uber,220,UPI,0
2025-01-28,Groceries,420,Cash,0
2025-01-29,Milk,60,Cash,0
2025-01-30,Recharge,399,UPI,0
2025-01-31,Groceries,400,Cash,0

2025-02-01,Salary,30000,Bank,30000
2025-02-02,Groceries,450,UPI,0
2025-02-03,Milk,60,Cash,0
2025-02-04,Groceries,500,Cash,0
2025-02-05,Groceries,480,Cash,0
2025-02-06,Uber,250,UPI,0
2025-02-07,Electricity,1300,UPI,0
2025-02-08,Swiggy,1500,UPI,0
2025-02-09,Zomato,1400,UPI,0
2025-02-10,Groceries,500,Cash,0
2025-02-11,Milk,60,Cash,0
2025-02-12,Groceries,480,Cash,0
2025-02-13,Uber,240,UPI,0
2025-02-14,Recharge,399,UPI,0
2025-02-15,Swiggy,1600,UPI,0
2025-02-16,Zomato,1500,UPI,0
2025-02-17,Groceries,500,Cash,0
2025-02-18,Milk,60,Cash,0
2025-02-19,Groceries,480,Cash,0
2025-02-20,Uber,230,UPI,0
2025-02-21,Groceries,450,Cash,0
2025-02-22,Swiggy,1700,UPI,0
2025-02-23,Zomato,1600,UPI,0
2025-02-24,Groceries,500,Cash,0
2025-02-25,Milk,60,Cash,0
2025-02-26,Groceries,480,Cash,0
2025-02-27,Uber,220,UPI,0
2025-02-28,Groceries,400,Cash,0

2025-03-01,Salary,30000,Bank,30000
2025-03-02,Groceries,450,UPI,0
2025-03-03,Milk,60,Cash,0
2025-03-04,Groceries,500,Cash,0
2025-03-05,Groceries,480,Cash,0
2025-03-06,Uber,250,UPI,0
2025-03-07,Electricity,1300,UPI,0
2025-03-08,Swiggy,1500,UPI,0
2025-03-09,Zomato,1400,UPI,0
2025-03-10,Groceries,500,Cash,0
2025-03-11,Milk,60,Cash,0
2025-03-12,Groceries,480,Cash,0
2025-03-13,Uber,240,UPI,0
2025-03-14,Recharge,399,UPI,0
2025-03-15,Swiggy,1600,UPI,0
2025-03-16,Zomato,1500,UPI,0
2025-03-17,Groceries,500,Cash,0
2025-03-18,Milk,60,Cash,0
2025-03-19,Groceries,480,Cash,0
2025-03-20,Uber,230,UPI,0
2025-03-21,Groceries,450,Cash,0
2025-03-22,Swiggy,1700,UPI,0
2025-03-23,Zomato,1600,UPI,0
2025-03-24,Groceries,500,Cash,0
2025-03-25,Milk,60,Cash,0
2025-03-26,Groceries,480,Cash,0
2025-03-27,Uber,220,UPI,0
2025-03-28,Groceries,400,Cash,0
2025-03-29,Swiggy,1700,UPI,0
2025-03-30,Zomato,1600,UPI,0
2025-03-31,Groceries,350,Cash,0
